# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_compound
# Exported by: General Butthurt
setting:	replacespawns 1
ttt_playerspawn	3005.020508 1753.621216 8.571245	-0.135 -130.572 -0.225
ttt_playerspawn	2069.397705 2784.609619 8.561868	-0.121 -62.205 -0.000
ttt_playerspawn	406.644257 2027.423218 0.511573	-0.032 -0.000 0.032
ttt_playerspawn	1741.650879 2763.512451 0.541260	-0.006 -160.096 0.160
ttt_playerspawn	1574.468628 1632.232788 22.589792	3.572 -0.270 0.563
ttt_playerspawn	2333.025391 1537.277344 1.551517	0.019 -53.549 -0.113
ttt_playerspawn	3972.239502 1577.859497 8.592096	-0.026 -110.371 0.002
ttt_playerspawn	3272.698975 235.314911 1.291094	0.609 69.136 -1.167
ttt_playerspawn	3166.868896 -17.138123 2.657226	0.192 -164.168 0.544
ttt_playerspawn	3107.248047 -1007.987305 2.467699	0.108 -163.483 -0.816
ttt_playerspawn	2500.760254 -1639.511475 10.167852	0.289 -154.598 1.545
ttt_playerspawn	1139.939087 -1850.567993 7.653958	0.289 0.109 2.404
ttt_playerspawn	1393.667603 -836.553284 2.145364	-0.925 -113.000 -0.612
ttt_playerspawn	404.170746 -1490.437256 0.541913	-0.032 46.192 -0.031
ttt_playerspawn	410.758942 -650.831543 0.563418	0.116 48.198 -0.000
ttt_playerspawn	381.798218 291.269135 0.560919	-0.081 -38.829 -0.043
ttt_playerspawn	946.793335 857.530151 0.558009	-0.134 -123.625 -0.001
ttt_playerspawn	394.802185 1501.380493 0.536268	0.001 -31.492 -0.203
ttt_playerspawn	2553.912354 610.312195 4.565971	0.000 -118.977 -0.108
ttt_playerspawn	2014.780884 1172.672119 2.426153	-0.399 -109.869 -0.808
ttt_playerspawn	1183.285645 1163.238525 2.146612	-0.331 -0.001 0.333
ttt_playerspawn	1132.254395 840.567505 1.396805	-0.522 -36.110 0.269
ttt_playerspawn	1392.986084 -342.830109 2.450995	-0.579 120.864 1.174
ttt_playerspawn	1639.694092 -808.334961 0.550134	-0.000 42.655 0.158
ttt_playerspawn	2242.617432 -341.212677 0.546513	-0.002 -128.102 -0.172
ttt_playerspawn	2400.856934 -834.899475 256.596405	-0.011 93.145 -0.001
ttt_playerspawn	1916.825806 -125.744888 256.538605	-0.001 108.750 -0.196
ttt_playerspawn	1617.146484 441.632690 256.507751	-0.034 -0.000 0.034
ttt_playerspawn	1743.286987 735.503906 0.573903	0.066 -18.344 0.148
