# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_militia
# Exported by: General Butthurt
setting:	replacespawns 1
ttt_playerspawn	228.119537 -2461.544922 -164.592422	-0.926 0.780 4.446
ttt_playerspawn	1467.296265 -2547.368896 -181.263290	-1.663 -169.402 -0.857
ttt_playerspawn	2034.270630 -2023.738892 -159.433456	0.106 47.880 0.000
ttt_playerspawn	2234.763428 -1076.178101 -155.431351	-0.113 -71.338 0.013
ttt_playerspawn	1386.617554 -516.010193 -146.337250	-2.302 -110.860 0.210
ttt_playerspawn	496.323181 -904.525696 -170.061249	1.274 151.585 -1.470
ttt_playerspawn	339.023834 133.510239 -165.731003	5.080 -63.062 4.123
ttt_playerspawn	1051.183594 -131.729462 -151.729019	-0.203 79.052 0.665
ttt_playerspawn	1931.639648 1030.250366 -307.065674	-2.904 171.238 3.084
ttt_playerspawn	885.413147 1159.564087 -318.623749	-0.830 105.652 1.513
ttt_playerspawn	398.972321 1822.644653 -308.831726	4.509 -0.411 4.018
ttt_playerspawn	660.460693 1940.603271 -154.948318	-0.126 -57.132 -0.000
ttt_playerspawn	79.340714 1706.405396 -178.983505	-1.448 -93.594 2.918
ttt_playerspawn	-91.886673 1207.730835 -15.492811	-0.023 -0.000 0.023
ttt_playerspawn	680.093262 715.378845 -15.436292	-0.115 -172.642 0.000
ttt_playerspawn	429.604218 910.206909 -15.439928	0.127 144.916 -0.000
ttt_playerspawn	664.515442 1238.746826 -15.450202	0.160 -176.042 -0.001
ttt_playerspawn	804.511108 991.894409 -153.642365	2.032 -0.153 -0.206
ttt_playerspawn	-96.159134 510.283234 -155.179749	-0.001 -98.435 0.156
ttt_playerspawn	380.949982 251.224503 -15.461357	0.000 173.759 0.195
ttt_playerspawn	1045.188110 -393.759735 -324.518799	-0.393 0.595 2.414
ttt_playerspawn	945.052246 -897.910767 -317.725861	-0.645 179.165 -1.402
ttt_playerspawn	989.719177 -699.671448 -160.491364	1.044 -126.336 4.024
ttt_playerspawn	1853.079590 751.042542 -124.100861	-1.184 168.320 0.045
