# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_aztec
# Exported by: General Butthurt
setting:	replacespawns 1
ttt_playerspawn	-2611.921875 1108.662109 -318.125671	-1.097 -89.908 -1.840
ttt_playerspawn	-1808.584595 454.812531 -223.801300	2.009 90.721 1.155
ttt_playerspawn	-1547.132568 -326.393005 -229.201523	0.547 0.109 -1.835
ttt_playerspawn	299.923553 139.380753 -224.910873	0.763 0.025 0.633
ttt_playerspawn	289.224915 779.614136 -191.453522	0.170 -164.047 0.000
ttt_playerspawn	-1137.848267 756.623474 -191.504379	-0.037 -0.000 0.037
ttt_playerspawn	-3010.358398 -269.528687 -312.195862	-4.402 55.076 -1.839
ttt_playerspawn	-2907.770508 -906.315002 -224.186234	1.370 0.178 -0.489
ttt_playerspawn	-1895.419312 -1097.333252 -223.514267	-0.041 -0.000 0.041
ttt_playerspawn	-1222.324341 -1603.853394 -223.434891	0.000 46.616 -0.111
ttt_playerspawn	-700.050110 -1353.009766 -220.720871	-1.613 0.402 0.793
ttt_playerspawn	457.601440 -1475.959473 -222.880661	0.325 148.825 1.301
ttt_playerspawn	152.537109 -378.091370 -224.063873	-1.751 -169.076 0.846
ttt_playerspawn	1661.512939 196.175674 -222.890839	-2.627 -176.817 -2.229
ttt_playerspawn	1915.875244 -267.194550 -245.716064	0.807 2.844 -0.657
ttt_playerspawn	2584.844238 384.694794 -293.565369	0.459 -78.575 -0.387
ttt_playerspawn	2626.787109 1323.785645 -383.464722	0.203 171.829 -0.004
ttt_playerspawn	2357.322021 739.610413 -499.767120	0.771 -170.399 2.051
ttt_playerspawn	1209.817139 387.352936 -506.823151	-1.226 155.578 -3.252
ttt_playerspawn	-712.199585 586.138367 -511.460785	0.067 0.000 0.067
ttt_playerspawn	-650.791199 -901.571533 -501.715210	-0.808 3.737 -1.647
ttt_playerspawn	63.747295 -920.383118 -350.780884	0.804 102.000 1.168
ttt_playerspawn	1931.223145 1301.105347 -534.601013	2.981 -76.484 0.159
ttt_playerspawn	-1237.244995 430.478088 -191.418533	0.185 -91.732 -0.126
ttt_playerspawn	-952.311340 -1018.522583 -223.458298	-0.011 -123.907 0.174
