# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_chateau
# Exported by: General Butthurt
setting:	replacespawns 1
ttt_playerspawn	1611.476074 -595.226563 -159.436981	-0.118 71.957 -0.001
ttt_playerspawn	1292.458496 -98.871445 -159.502655	0.002 -124.102 -0.108
ttt_playerspawn	1632.426880 301.577850 -163.363632	-0.007 -38.543 0.000
ttt_playerspawn	2093.953857 487.993866 -159.455597	-0.004 88.257 0.180
ttt_playerspawn	2708.654785 215.662994 -159.421188	-0.004 -170.331 0.071
ttt_playerspawn	3063.043701 996.628235 -55.434914	0.356 -77.879 0.243
ttt_playerspawn	3010.057861 1237.833984 -1.439116	-0.001 -165.862 0.125
ttt_playerspawn	2500.699707 936.881470 0.543125	0.092 104.940 -0.088
ttt_playerspawn	1935.038208 1515.750854 0.568381	0.287 2.626 0.187
ttt_playerspawn	1389.280762 1555.126465 0.555659	0.026 -33.152 -0.167
ttt_playerspawn	1350.170654 1888.781494 0.549994	0.161 46.806 0.003
ttt_playerspawn	827.325623 2252.412109 0.594869	0.159 -29.389 0.143
ttt_playerspawn	458.348938 1367.485962 209.422577	2.709 167.373 0.088
ttt_playerspawn	1100.060303 1207.874634 208.557205	0.068 -0.000 -0.068
ttt_playerspawn	1804.827148 1431.208374 152.576035	-0.006 -0.000 0.006
ttt_playerspawn	2506.173828 928.259583 152.546707	0.019 87.914 -0.134
ttt_playerspawn	2747.444580 1345.535889 80.496384	-0.024 -165.788 -0.186
ttt_playerspawn	1024.785522 975.825500 0.591229	0.019 145.211 0.008
ttt_playerspawn	888.219116 777.787903 0.552293	-0.091 -144.084 0.025
ttt_playerspawn	940.721863 -160.965912 0.547912	0.165 127.817 0.001
ttt_playerspawn	566.847046 -127.033730 0.568804	-0.001 82.320 -0.100
ttt_playerspawn	160.402222 989.569641 0.549006	0.162 85.299 0.001
ttt_playerspawn	-384.354553 1020.683105 0.504422	-0.160 -28.298 0.024
ttt_playerspawn	-336.143738 -162.551910 0.566560	0.000 91.120 0.106
ttt_playerspawn	110.067497 194.262650 -39.417637	0.152 -77.440 0.096
ttt_playerspawn	454.634064 -363.203308 -159.526505	0.011 -0.000 -0.011
ttt_playerspawn	883.870728 1374.922241 219.489655	0.219 12.364 -0.007
ttt_playerspawn	1053.784058 1840.271606 0.561578	0.122 -168.848 -0.000
