# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_cod4_showdown_rc1
# Exported by: General Butthurt
setting:	replacespawns 1
ttt_playerspawn	282.517090 1772.928101 -27.808041	3.767 -129.283 -10.147
ttt_playerspawn	-1144.660156 334.468750 -30.791637	-2.695 -0.377 -1.035
ttt_playerspawn	-1115.819946 -402.893341 164.557709	-0.044 -86.241 0.038
ttt_playerspawn	-425.224518 410.161163 164.507523	0.029 0.000 0.029
ttt_playerspawn	-482.815063 -518.765198 8.503195	-0.035 -0.000 0.035
ttt_playerspawn	633.658875 -823.055115 5.630578	-0.000 -66.437 0.098
ttt_playerspawn	798.863220 321.429382 164.565384	-0.048 -79.860 0.062
ttt_playerspawn	940.749023 135.787079 -18.816090	10.411 -2.164 -0.521
ttt_playerspawn	855.967957 639.395569 -20.265631	-6.294 -0.507 6.706
ttt_playerspawn	-960.466675 1387.524658 -21.720989	2.133 -0.094 -0.738
ttt_playerspawn	-568.699890 -24.985096 8.578401	0.056 -9.785 -0.012
ttt_playerspawn	-325.010864 433.628021 12.016137	-0.185 0.030 -0.380
ttt_playerspawn	57.327660 -654.579651 164.547058	-0.017 -0.000 0.017
ttt_playerspawn	778.536133 299.529602 8.599800	-0.000 -70.253 0.000
ttt_playerspawn	142.875870 747.292358 8.599800	0.137 -111.624 0.137
ttt_playerspawn	816.982666 -413.931793 48.573170	0.000 -169.677 -0.085
ttt_playerspawn	-1125.618286 -1400.911865 -26.019308	6.256 0.677 9.058
ttt_playerspawn	-49.324383 -1807.528564 -24.853579	-4.755 43.947 -6.437
ttt_playerspawn	201.195755 -1027.514404 8.586113	0.069 -173.062 -0.026
ttt_playerspawn	-948.248596 -529.956238 -39.775490	1.382 0.192 11.312
ttt_playerspawn	1296.956299 -1509.240356 -16.102760	-11.729 165.697 3.800
ttt_playerspawn	211.621414 -662.244995 8.592914	-0.083 174.077 -0.104
ttt_playerspawn	864.645203 -2001.446777 -16.559370	2.821 159.219 3.940
ttt_playerspawn	-629.310669 453.061768 96.576881	0.049 -85.691 0.024
ttt_playerspawn	-815.950500 -408.500885 164.495926	-0.039 -0.000 0.039
ttt_playerspawn	1326.962158 1474.760010 -23.235380	5.292 -135.849 5.062
ttt_playerspawn	-259.638306 -1120.877563 6.572509	-0.002 -155.518 -0.089
