# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dust2
# Exported by: General Butthurt
setting:	replacespawns 1
ttt_playerspawn	-2052.551025 -856.599426 131.847778	-0.666 -0.152 1.723
ttt_playerspawn	-1986.513428 371.876648 2.131405	0.075 0.107 0.853
ttt_playerspawn	-2009.937256 1145.450073 32.536575	-0.020 -0.000 0.020
ttt_playerspawn	-2094.165771 1883.182495 1.228670	-0.184 -1.793 0.005
ttt_playerspawn	-719.344971 2225.195557 -124.291283	-2.274 0.368 0.524
ttt_playerspawn	430.316498 2458.637207 -107.385063	0.088 -86.069 -0.263
ttt_playerspawn	-726.448425 1433.699097 -111.493858	-0.030 -0.000 0.030
ttt_playerspawn	256.254456 1447.878296 0.559256	-0.001 -175.892 0.130
ttt_playerspawn	419.572510 2194.232666 96.562119	-0.075 105.819 0.045
ttt_playerspawn	1453.580444 2987.239502 130.305481	-0.560 -91.339 -1.527
ttt_playerspawn	1708.721924 887.922058 64.537277	-0.002 -171.684 -0.201
ttt_playerspawn	632.110840 568.350342 2.341789	0.289 -82.716 -0.657
ttt_playerspawn	325.405884 408.800903 15.953072	1.001 -128.164 -1.105
ttt_playerspawn	324.994507 -734.687256 3.163467	-1.404 144.382 1.599
ttt_playerspawn	-421.854218 -152.506958 6.777040	2.895 82.344 2.298
ttt_playerspawn	-654.506042 395.626221 6.217021	-0.947 0.138 1.353
ttt_playerspawn	-190.899963 1152.618408 0.555955	-0.001 -86.913 0.140
ttt_playerspawn	-1082.284424 1299.845703 -111.461647	0.004 -84.563 0.199
ttt_playerspawn	-1965.385254 2849.384521 32.517475	0.077 -90.860 -0.185
ttt_playerspawn	-470.263031 1782.267334 -126.533806	0.403 -179.178 -0.019
ttt_playerspawn	669.368896 -355.804993 9.564239	2.963 131.730 -1.620
ttt_playerspawn	-1374.512207 37.857758 17.126574	-1.577 93.022 0.846
ttt_playerspawn	-996.820190 -208.841110 166.458466	0.401 -115.117 1.156
ttt_playerspawn	-727.884399 -812.178223 133.509262	2.171 -174.582 -1.875
ttt_playerspawn	-1664.070923 814.720581 32.578979	-0.000 -86.689 -0.066
ttt_playerspawn	-392.351776 1169.665039 -91.050323	-0.055 85.436 -0.000
ttt_playerspawn	-1403.133789 2520.726807 5.778711	2.581 -120.586 0.994
ttt_playerspawn	697.120911 962.549072 2.137435	2.651 1.585 0.156
ttt_playerspawn	1083.659058 305.739014 1.251688	0.446 88.797 0.110
ttt_playerspawn	1085.650146 2148.657959 4.834226	-1.231 -174.390 -1.583
