# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_inferno
# Exported by: General Butthurt
setting:	replacespawns 1
ttt_playerspawn	-1704.118530 639.012817 -59.424496	-0.001 -50.214 0.079
ttt_playerspawn	-1539.035034 -447.579834 -8.346974	-0.647 97.449 -0.156
ttt_playerspawn	-1289.754028 -599.752869 -4.056342	2.510 -1.362 -2.058
ttt_playerspawn	-773.768005 -398.350342 -3.466428	-0.443 101.802 -0.938
ttt_playerspawn	-55.144611 -182.552200 36.668034	-1.127 151.875 2.490
ttt_playerspawn	365.085999 -649.893677 96.485374	-0.028 -0.000 0.028
ttt_playerspawn	-318.998749 -442.098389 192.517731	0.020 0.000 0.020
ttt_playerspawn	-379.147736 -172.374100 192.592743	0.024 96.111 -0.002
ttt_playerspawn	-566.877258 89.704262 182.458008	0.046 92.867 0.052
ttt_playerspawn	-439.515533 788.055908 -31.493639	-0.035 -0.000 0.035
ttt_playerspawn	87.021309 585.610840 68.124580	-4.328 1.036 0.520
ttt_playerspawn	818.218689 269.787048 90.169167	3.773 -88.006 -0.231
ttt_playerspawn	1398.348267 1181.646729 163.315109	1.951 -39.977 -0.399
ttt_playerspawn	1813.325684 1320.203003 160.599808	0.249 95.287 0.249
ttt_playerspawn	2479.592041 1861.365356 128.022415	0.313 129.165 -1.382
ttt_playerspawn	2046.886841 2292.793213 140.570999	0.092 90.643 -0.000
ttt_playerspawn	1582.381226 2967.798096 125.635155	1.516 -15.078 0.172
ttt_playerspawn	741.718140 2879.685059 128.839767	-0.126 -79.480 0.971
ttt_playerspawn	577.023682 2053.926270 129.715256	-0.004 -111.753 0.174
ttt_playerspawn	191.106033 56.554523 182.541321	0.000 174.584 -0.186
ttt_playerspawn	-1219.553101 498.876434 -55.525105	-0.045 -0.000 0.045
ttt_playerspawn	1420.649048 -61.312538 128.599792	0.000 86.707 -0.000
ttt_playerspawn	2352.344971 -8.195374 127.023750	3.148 127.318 -2.709
ttt_playerspawn	2466.077393 945.979492 160.591263	0.027 178.896 -0.000
ttt_playerspawn	1236.757446 522.987305 115.504723	3.030 -163.483 -0.050
