# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_italy
# Exported by: General Butthurt
setting:	replacespawns 1
ttt_playerspawn	-652.158752 -1974.565063 -239.414230	-0.045 108.701 0.000
ttt_playerspawn	-1000.851746 -1095.428955 -151.420654	0.000 32.780 0.065
ttt_playerspawn	-1114.471802 -199.150146 -151.444443	0.002 18.646 -0.143
ttt_playerspawn	-1267.817139 9.994236 -159.435501	0.256 50.871 -0.144
ttt_playerspawn	-1472.465332 1249.223755 0.492386	-0.039 -0.000 0.039
ttt_playerspawn	-1013.748230 1516.351318 -55.450996	-0.162 -161.635 0.000
ttt_playerspawn	-1050.739136 1772.595215 -151.414108	0.043 100.326 0.001
ttt_playerspawn	-579.705505 2120.123291 -151.547562	-0.013 -0.000 0.013
ttt_playerspawn	-330.080414 1785.651855 -151.521271	-0.011 -0.000 0.011
ttt_playerspawn	-145.914749 2505.501221 -63.498302	-0.035 -0.000 0.035
ttt_playerspawn	465.826294 2176.302246 0.561681	-0.000 -146.320 0.122
ttt_playerspawn	963.598267 2376.540039 0.599821	0.405 -164.940 -0.405
ttt_playerspawn	947.281311 2400.333252 128.556732	-0.142 -164.655 -0.005
ttt_playerspawn	952.074036 2009.886475 128.564484	-0.113 175.001 0.000
ttt_playerspawn	605.638550 1473.582642 48.549774	0.048 0.010 0.111
ttt_playerspawn	1007.000671 768.128052 -191.400192	-0.003 176.905 -0.003
ttt_playerspawn	934.403809 395.609497 -151.468430	0.218 -131.769 -0.001
ttt_playerspawn	958.264893 -699.447510 -151.400208	0.000 160.112 0.000
ttt_playerspawn	180.957230 -132.016266 -151.459152	-0.002 -21.507 -0.190
ttt_playerspawn	-337.330292 -137.849777 -151.420929	0.066 -73.465 -0.000
ttt_playerspawn	-1194.145752 1239.435791 -151.446915	-0.007 -67.883 -0.156
ttt_playerspawn	-735.120789 887.972412 -159.499802	-0.036 -0.000 0.036
ttt_playerspawn	442.611755 804.930176 -159.415329	-0.049 -123.409 -0.001
ttt_playerspawn	914.610779 2198.619385 0.579229	0.068 -168.154 0.002
ttt_playerspawn	-807.221375 1727.633301 0.599800	0.000 -101.491 0.000
ttt_playerspawn	-701.116089 714.280151 8.492057	-0.027 -0.000 0.027
ttt_playerspawn	-668.881836 403.375122 8.555200	-0.000 -34.444 0.142
ttt_playerspawn	-367.545349 -145.590866 -31.421072	-0.002 -164.452 -0.068
