# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_office
# Exported by: General Butthurt
setting:	replacespawns 1
ttt_playerspawn	1744.593750 769.494324 -159.509048	-0.015 -126.036 -0.311
ttt_playerspawn	1488.385620 960.880249 -159.449203	-0.156 -178.620 -0.000
ttt_playerspawn	665.811279 873.593018 -159.453232	-0.008 -83.450 -0.161
ttt_playerspawn	660.687988 -239.955597 -159.442947	-0.000 101.213 0.136
ttt_playerspawn	1120.167236 -884.467407 -159.443893	0.000 -176.982 0.139
ttt_playerspawn	96.247826 267.000427 -159.430710	-0.001 -66.755 -0.098
ttt_playerspawn	-388.503906 696.551941 -159.456360	0.129 -124.791 -0.003
ttt_playerspawn	-861.322327 -244.624527 -159.426208	0.083 66.707 -0.001
ttt_playerspawn	-320.465485 -182.669312 -159.457062	0.001 161.522 -0.182
ttt_playerspawn	-790.465454 -37.537144 -367.450592	0.001 -178.749 0.161
ttt_playerspawn	-782.971863 522.726257 -367.441681	-0.044 172.683 0.177
ttt_playerspawn	120.516258 -1093.335449 -223.400208	0.135 153.543 0.135
ttt_playerspawn	345.218231 -437.142487 -159.425766	0.028 -131.574 0.110
ttt_playerspawn	924.036377 -209.326157 -159.438583	0.124 62.501 -0.002
ttt_playerspawn	2275.227783 64.292480 -159.428558	-0.000 -118.864 -0.090
ttt_playerspawn	1899.973389 -503.622620 -159.433594	0.003 110.861 0.104
ttt_playerspawn	1559.864136 -598.631287 -159.423492	0.075 146.701 -0.001
ttt_playerspawn	397.704468 -996.017517 -223.413315	0.042 -82.142 -0.001
ttt_playerspawn	667.450256 -1417.865479 -279.504395	-0.037 -0.000 0.037
ttt_playerspawn	1091.967407 -2028.238037 -294.992401	-2.743 97.018 3.549
ttt_playerspawn	416.438019 -2127.378418 -335.413452	-0.000 158.621 0.042
ttt_playerspawn	-732.006531 -2094.959717 -335.404510	-0.002 137.227 0.016
ttt_playerspawn	-1658.601074 -1412.646606 -327.515991	-0.042 -0.000 0.042
ttt_playerspawn	-1613.464966 -233.512009 -239.455414	-0.020 -0.000 0.020
ttt_playerspawn	-599.486938 -1168.501221 -239.405975	0.000 117.864 0.019
ttt_playerspawn	-1428.863037 -1682.798340 -335.430878	0.221 -28.248 -0.123
