# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_cbble
# Exported by: General Butthurt
setting:	replacespawns 1
ttt_playerspawn	-526.195740 2676.382568 6.822443	0.928 -1.221 -0.081
ttt_playerspawn	-1222.890869 2667.989014 128.485352	-0.029 0.000 -0.029
ttt_playerspawn	-941.812439 2437.742676 -255.445374	-0.000 -133.329 -0.144
ttt_playerspawn	-319.008118 2422.027344 -255.400192	-0.124 -83.322 -0.124
ttt_playerspawn	349.287567 706.819580 41.105076	-3.881 107.051 -0.031
ttt_playerspawn	-2368.210449 2413.238770 0.487408	0.040 0.000 0.040
ttt_playerspawn	-2077.156250 1889.019775 0.568490	0.199 -112.814 0.100
ttt_playerspawn	-2103.257080 400.342651 -255.418365	0.000 -177.562 -0.058
ttt_playerspawn	-1757.279907 -857.097839 0.537471	-0.022 -0.000 0.022
ttt_playerspawn	-821.512085 -1163.224121 -127.501297	-0.036 -0.000 0.036
ttt_playerspawn	1352.821289 -879.788025 -127.434959	0.058 -115.500 -0.053
ttt_playerspawn	1441.855225 -1709.298950 0.580748	-0.001 142.193 0.061
ttt_playerspawn	710.632202 -117.604408 0.569273	-0.099 -164.413 0.002
ttt_playerspawn	-594.712830 -168.801773 0.513915	0.021 0.000 0.021
ttt_playerspawn	-963.078369 47.665344 0.599800	-0.000 55.765 0.000
ttt_playerspawn	-911.628845 497.441071 0.515213	-0.021 -0.000 0.021
ttt_playerspawn	-1353.308105 1385.483765 64.576202	0.268 -121.662 0.193
ttt_playerspawn	-846.889160 1393.798584 64.570755	0.000 -178.327 -0.093
ttt_playerspawn	-578.117920 676.521606 0.547108	0.008 95.418 0.162
ttt_playerspawn	-2694.357910 740.569092 0.571893	-0.090 -112.768 0.001
ttt_playerspawn	-3262.619141 474.261688 0.509942	-0.022 -0.000 0.022
ttt_playerspawn	-3216.201904 -499.120636 0.512607	0.022 0.000 0.022
ttt_playerspawn	-2117.072266 -2201.431396 0.550482	0.000 105.552 0.157
ttt_playerspawn	-1975.298828 -861.520813 0.566034	-0.109 -127.586 -0.002
ttt_playerspawn	-2177.736084 582.667175 -255.459656	0.163 102.593 0.027
ttt_playerspawn	-2771.659668 1250.745605 0.562842	-0.000 45.393 -0.118
